parent_code,parent_name,child_code,child_name,holding_pct
3402,東レ,8014,蝶理,
7203,トヨタ自動車,7205,日野自動車,
6201,豊田自動織機,6345,アイチコーポレーション,
8015,豊田通商,2737,トーメンデバイス,
8015,豊田通商,2715,エレマテック,
9044,南海電気鉄道,1850,南海辰村建設,
7201,日産自動車,7222,日産車体,
2897,日清食品ホールディングス,2226,湖池屋,
5401,日本製鉄,5449,大阪製鐵,
5401,日本製鉄,2327,日鉄ソリューションズ,
5401,日本製鉄,3315,日本コークス工業,
5401,日本製鉄,5282,ジオスター,
5401,日本製鉄,5352,黒崎播磨,
5401,日本製鉄,5481,山陽特殊製鋼,
2914,JT,4551,鳥居薬品,
2353,日本駐車場開発,6040,日本スキー場開発,
6701,NEC,6807,日本航空電子工業,
6701,NEC,1973,NECネッツエスアイ,
9432,日本電信電話,4326,インテージホールディングス,
9432,日本電信電話,9613,NTTデータグループ,
9613,NTTデータグループ,3850,NTTデータイントラマート,
9613,NTTデータグループ,3622,ネットイヤーグループ,
6178,日本郵政,7181,かんぽ生命保険,
6178,日本郵政,7182,ゆうちょ銀行,
7419,ノジマ,4262,ニフティライフスタイル,
2810,ハウス食品グループ本社,7630,壱番屋,
2433,博報堂DYホールディングス,2497,ユナイテッド,
2168,パソナグループ,9216,ビーウィズ,
2168,パソナグループ,2412,ベネフィット・ワン,
9956,バローホールディングス,3546,アレンザホールディングス,
9435,光通信,2588,プレミアムウォーターホールディングス,
9435,光通信,2763,エフティグループ,
3048,ビックカメラ,7513,コジマ,
3048,ビックカメラ,9414,日本BS放送,
7593,VTホールディングス,8891,AMGホールディングス,
7593,VTホールディングス,3347,トラスト,
8275,フォーバル,9423,FRS,
8275,フォーバル,9445,フォーバルテレコム,
6702,富士通,6955,FDK,
6702,富士通,6967,新光電気工業,
6504,富士電機,1775,富士古河E&C,
3843,フリービット,3830,ギガプライズ,
9505,北陸電力,1930,北陸電気工事,
9509,北海道電力,1832,北海電工,
7267,ホンダ,7229,ユタカ技研,
1821,三井住友建設,1776,三井住建道路,
7003,三井E&S,6391,加地テック,
7280,ミツバ,9691,両毛システムズ,
4182,三菱ガス化学,7942,JSP,
4188,三菱ケミカルグループ,4091,日本酸素ホールディングス,
7011,三菱重工業,7105,三菱ロジスネクスト,
7011,三菱重工業,4685,菱友システムズ,
8058,三菱商事,6366,千代田化工建設,
8058,三菱商事,2003,日東富士製粉,
8058,三菱商事,2393,日本ケアサプライ,
8058,三菱商事,2892,日本食品化工,
8058,三菱商事,7451,三菱食品,
8058,三菱商事,2651,ローソン,
6503,三菱電機,1948,弘電社,
7459,メディパルホールディングス,8283,PALTAC,
2212,山崎製パン,2211,不二家,
9831,ヤマダホールディングス,1429,日本アクア,
9994,やまや,3178,チムニー,
2928,RIZAPグループ,3140,BRUNO,
2928,RIZAPグループ,4650,SDエンターテイメント,
2928,RIZAPグループ,3185,夢展望,
2928,RIZAPグループ,9980,MRKホールディングス,
2928,RIZAPグループ,8105,堀田丸正,
4755,楽天グループ,5838,楽天銀行,
3612,ワールド,9275,ナルミヤ・インターナショナル,
4088,エア・ウォーター,3604,川本産業,
9433,KDDI,9436,沖縄セルラー電話,
